TITULO                                             | ID/SLUG                                  | URL
El Perfumista                                      | el-perfumista                            | https://movidex.lat/el-perfumista/
Invencible: Un niño fuera de serie                 | invencible-un-nino-fuera-de-serie        | https://movidex.lat/invencible-un-nino-fuera-de-serie/
Juego de tronos                                    | juego-de-tronos                          | https://movidex.lat/juego-de-tronos/
Beetlejuice Beetlejuice                            | beetlejuice-beetlejuice                  | https://movidex.lat/beetlejuice-beetlejuice/
Herbie: A toda marcha                              | herbie-a-toda-marcha                     | https://movidex.lat/herbie-a-toda-marcha/
Santa Cláusula 2: La Navidad Corre Peligro         | santa-clausula-2-la-navidad-corre-peligro | https://movidex.lat/santa-clausula-2-la-navidad-corre-peligro/
Inmortales                                         | inmortales                               | https://movidex.lat/inmortales/
Monstruos, S.A.                                    | monstruos-s-a                            | https://movidex.lat/monstruos-s-a/
Cromosoma 21                                       | cromosoma-21                             | https://movidex.lat/cromosoma-21/
The Cheetah Girls 2                                | the-cheetah-girls-2                      | https://movidex.lat/the-cheetah-girls-2/
Espacio/Tiempo                                     | espacio-tiempo                           | https://movidex.lat/espacio-tiempo/
Los 4 Fantásticos                                  | los-4-fantasticos                        | https://movidex.lat/los-4-fantasticos/
Alien: Earth                                       | alien-earth                              | https://movidex.lat/alien-earth/
Una presencia extraña                              | una-presencia-extrana                    | https://movidex.lat/una-presencia-extrana/
Tornados                                           | tornados                                 | https://movidex.lat/tornados/
Amor y riqueza                                     | amor-y-riqueza                           | https://movidex.lat/amor-y-riqueza/
Detrás del volante (The Seat)                      | detras-del-volante-the-seat              | https://movidex.lat/detras-del-volante-the-seat/
La venganza de las Juanas                          | la-venganza-de-las-juanas                | https://movidex.lat/la-venganza-de-las-juanas/
[REC²                                              | rec%c2%b2                                | https://movidex.lat/rec%c2%b2/
Superman: Brainiac Ataca                           | superman-brainiac-ataca                  | https://movidex.lat/superman-brainiac-ataca/
Amor en la puerta de al lado                       | amor-en-la-puerta-de-al-lado             | https://movidex.lat/amor-en-la-puerta-de-al-lado/
Spirit: El Corcel Indomable	                       | spirit-el-corcel-indomable               | https://movidex.lat/spirit-el-corcel-indomable/
Como agua para chocolate                           | como-agua-para-chocolate-2               | https://movidex.lat/como-agua-para-chocolate-2/
Monstruos: La historia de Lyle y Erik Menendez     | monstruos-la-historia-de-lyle-y-erik-menendez | https://movidex.lat/monstruos-la-historia-de-lyle-y-erik-menendez/
Todo en un viernes                                 | todo-en-un-viernes                       | https://movidex.lat/todo-en-un-viernes/
Un papá genial                                     | un-papa-genial                           | https://movidex.lat/un-papa-genial/
Un príncipe de Navidad: La boda real               | un-principe-de-navidad-la-boda-real      | https://movidex.lat/un-principe-de-navidad-la-boda-real/
París en la mira                                   | paris-en-la-mira                         | https://movidex.lat/paris-en-la-mira/
A prueba de hombres                                | a-prueba-de-hombres                      | https://movidex.lat/a-prueba-de-hombres/
Severance                                          | severance                                | https://movidex.lat/severance/
Cásate con mi esposo                               | casate-con-mi-esposo                     | https://movidex.lat/casate-con-mi-esposo/
Eden2025                                           | eden-2                                   | https://movidex.lat/eden-2/
La liberación                                      | la-liberacion                            | https://movidex.lat/la-liberacion/
Shaft                                              | shaft                                    | https://movidex.lat/shaft/
La Protegida                                       | la-protegida                             | https://movidex.lat/la-protegida/
Bajo el muelle                                     | bajo-el-muelle                           | https://movidex.lat/bajo-el-muelle/
Bridget Jones: Loca por él                         | bridget-jones-loca-por-el                | https://movidex.lat/bridget-jones-loca-por-el/
Terminator                                         | terminator                               | https://movidex.lat/terminator/
El aprendiz de brujo                               | el-aprendiz-de-brujo                     | https://movidex.lat/el-aprendiz-de-brujo/
A pesar de ti                                      | a-pesar-de-ti                            | https://movidex.lat/a-pesar-de-ti/
Ginny y Georgia                                    | ginny-y-georgia                          | https://movidex.lat/ginny-y-georgia/
Doona                                              | doona                                    | https://movidex.lat/doona/
Toy Boy                                            | toy-boy                                  | https://movidex.lat/toy-boy/
The Walking Dead: The Ones Who Live                | the-walking-dead-the-ones-who-live       | https://movidex.lat/the-walking-dead-the-ones-who-live/
Hombres de negro 2                                 | hombres-de-negro-2                       | https://movidex.lat/hombres-de-negro-2/
Thor: Ragnarok                                     | thor-ragnarok                            | https://movidex.lat/thor-ragnarok/
Match divino                                       | match-divino                             | https://movidex.lat/match-divino/
El jorobado de Notre Dame 2                        | el-jorobado-de-notre-dame-2              | https://movidex.lat/el-jorobado-de-notre-dame-2/
Cenicienta                                         | cenicienta-2021                          | https://movidex.lat/cenicienta-2021/
The Walking Dead: Dead City                        | the-walking-dead-dead-city               | https://movidex.lat/the-walking-dead-dead-city/
